image_id,healthy,multiple_diseases,rust,scab
Train_0.jpg,0,0,0,1
Train_1.jpg,0,1,0,0
Train_2.jpg,1,0,0,0
Train_3.jpg,0,0,1,0
Train_4.jpg,1,0,0,0
Train_5.jpg,1,0,0,0
Train_6.jpg,0,1,0,0
Train_7.jpg,0,0,0,1
Train_8.jpg,0,0,0,1
Train_9.jpg,1,0,0,0
Train_10.jpg,0,0,1,0
Train_11.jpg,0,0,0,1
Train_12.jpg,0,0,0,1
Train_13.jpg,1,0,0,0
Train_14.jpg,0,0,1,0
Train_15.jpg,0,0,1,0
Train_16.jpg,0,0,0,1
Train_17.jpg,0,0,0,1
Train_18.jpg,1,0,0,0
Train_19.jpg,0,0,0,1
Train_20.jpg,0,0,0,1
Train_21.jpg,0,0,1,0
Train_22.jpg,0,0,0,1
Train_23.jpg,0,0,1,0
Train_24.jpg,1,0,0,0
Train_25.jpg,0,1,0,0
Train_26.jpg,0,0,1,0
Train_27.jpg,0,0,0,1
Train_28.jpg,0,0,0,1
Train_29.jpg,0,0,0,1
Train_30.jpg,0,0,0,1
Train_31.jpg,0,0,1,0
Train_32.jpg,0,0,0,1
Train_33.jpg,1,0,0,0
Train_34.jpg,0,0,1,0
Train_35.jpg,0,0,1,0
Train_36.jpg,0,1,0,0
Train_37.jpg,0,0,1,0
Train_38.jpg,0,0,1,0
Train_39.jpg,0,0,1,0
Train_40.jpg,0,0,0,1
Train_41.jpg,0,0,0,1
Train_42.jpg,0,0,0,1
Train_43.jpg,1,0,0,0
Train_44.jpg,0,0,0,1
Train_45.jpg,0,0,1,0
Train_46.jpg,1,0,0,0
Train_47.jpg,0,0,1,0
Train_48.jpg,0,0,0,1
Train_49.jpg,0,0,0,1
Train_50.jpg,0,0,1,0
Train_51.jpg,0,0,0,1
Train_52.jpg,0,0,0,1
Train_53.jpg,1,0,0,0
Train_54.jpg,1,0,0,0
Train_55.jpg,1,0,0,0
Train_56.jpg,0,0,0,1
Train_57.jpg,0,0,1,0
Train_58.jpg,0,0,1,0
Train_59.jpg,0,0,1,0
Train_60.jpg,0,0,1,0
Train_61.jpg,0,0,0,1
Train_62.jpg,0,1,0,0
Train_63.jpg,1,0,0,0
Train_64.jpg,0,0,1,0
Train_65.jpg,0,0,0,1
Train_66.jpg,1,0,0,0
Train_67.jpg,1,0,0,0
Train_68.jpg,1,0,0,0
Train_69.jpg,0,0,1,0
Train_70.jpg,1,0,0,0
Train_71.jpg,0,0,1,0
Train_72.jpg,1,0,0,0
Train_73.jpg,0,0,0,1
Train_74.jpg,0,1,0,0
Train_75.jpg,0,0,1,0
Train_76.jpg,0,0,0,1
Train_77.jpg,1,0,0,0
Train_78.jpg,0,0,0,1
Train_79.jpg,0,0,0,1
Train_80.jpg,0,0,0,1
Train_81.jpg,0,0,1,0
Train_82.jpg,0,0,1,0
Train_83.jpg,0,0,0,1
Train_84.jpg,0,0,0,1
Train_85.jpg,0,0,0,1
Train_86.jpg,1,0,0,0
Train_87.jpg,0,0,1,0
Train_88.jpg,1,0,0,0
Train_89.jpg,0,0,1,0
Train_90.jpg,1,0,0,0
Train_91.jpg,0,0,0,1
Train_92.jpg,0,0,1,0
Train_93.jpg,0,0,1,0
Train_94.jpg,1,0,0,0
Train_95.jpg,0,1,0,0
Train_96.jpg,0,0,1,0
Train_97.jpg,0,0,1,0
Train_98.jpg,0,0,1,0
Train_99.jpg,1,0,0,0
Train_100.jpg,1,0,0,0
Train_101.jpg,0,0,0,1
Train_102.jpg,0,0,1,0
